"","NPC","d5","d25","d45"
"ADAM8",1.90244453999624,19.2447726206687,24.0977071955845,22.3502270476262
"ADORA2A",0.838801333764569,2.22974601372199,2.14144282093826,2.57719696761225
"AP2B1",198.090163071324,335.778510570219,361.549773008071,424.383492719224
"AKT1",58.798616913711,68.7828863425675,61.5374449829141,51.4795932759851
"ANGPT1",1.25552497277595,0.0421399186972627,0.103802122549965,0.137971857967616
"APOE",55.5239312274612,8.65530684848441,11.554876222262,16.6081740409246
"RHOA",810.1819035666,317.194425662972,297.375801042649,289.192565272254
"ARRB1",3.41202970404877,36.5583387035546,58.4573302459146,61.039190038714
"ARRB2",80.8325993020008,93.3751508223944,93.6962977216755,89.4658069542052
"ATF4",792.026904933294,308.941284339226,424.990983922761,413.172722015513
"AXL",151.36637904482,3.69859850592089,2.74853867963098,2.7133977663031
"BAX",147.140498696309,69.8689033754849,49.465433442852,41.9422798560711
"BCL2",23.066013938963,3.99664419018472,29.3791950308084,27.8131790871607
"BCL2L1",106.480276369614,207.065175384392,186.823818657662,194.616888059884
"BDNF",2.54349741953147,0.469495323222945,1.6312159649424,1.21475323875873
"BOK",44.2615044131665,11.8282601821447,58.9154255754894,72.8397747784746
"C5AR1",1.39678290234413,8.62263701134189,10.700475056374,12.6760272824279
"CBL",75.2224634564907,67.7037255821621,38.864302026039,45.663597506805
"CD34",0.43045583180521,0.0220706140797796,0.0930022710202932,0.0716519395872577
"CDK5",25.2602094268412,78.4204396723367,79.2278456974255,86.9475050396412
"CEBPB",68.7258659677831,3.92310654897855,10.1333381650899,15.6455818310649
"CHGA",3.13331977992332,253.982586445379,408.481315210505,393.238468282178
"CLN3",0,0,0,0
"CNTF",4.98979302509617,3.90789620031738,1.93440956968179,2.79286008189607
"CNTFR",369.733136564899,529.662406426323,478.238797423669,417.824693064504
"CREB1",59.2845289308069,60.2075701530326,49.6256785205006,40.3706528638162
"CRHR1",4.54862362698954,8.13978734532349,8.3096280558893,8.91164682118053
"CSF1",12.9845061997141,0.645080994628692,0.683282059758505,1.22533688048958
"CSF3",0,0.177448652843823,0.11460527041507,0.213360091462137
"CTNNB1",633.110150823902,259.451115526664,202.582013585713,167.173421075159
"CX3CR1",0.251432349481726,0.405700977926229,1.49413578364475,2.80813135733403
"DLX1",34.4001366936933,653.648969884622,271.974939845396,212.719391800738
"EIF4G1",306.846710264094,211.352639026031,190.618565628308,242.235132594201
"EN1",0.145791884681294,0.161465696885415,0,0.0660796582175551
"EN2",0.625088777851337,0.0513442444777907,0.963245133830214,0.72895870435393
"EPO",0.546243596003213,0.708649095410852,0.821902830192218,1.10780054641498
"ERBB3",2.10992019698923,0.395354898656688,1.02553252067251,1.50536825379318
"F2R",201.471594915161,115.446941028337,68.6195782689981,52.5589785933153
"PTK2B",5.54414663335512,9.92083999609011,7.39005720383311,9.82504024756827
"FGF8",20.3331496931203,1.17108800275875,0.704037826832981,1.71952509208169
"FYN",99.4410784179865,155.815744038477,165.926903233104,164.702617596982
"GABRA5",5.39821326899119,7.15483860640884,112.92399718829,131.809897533393
"GABRB2",1.79102970069848,9.98484125249027,37.4042810591361,39.8171993287663
"GABRB3",24.8606977838436,157.71413177577,225.546043686668,237.53329380602
"GBA",14.924531997901,23.7042427312861,32.0752114437411,32.4001114895832
"GDNF",0.277601304127735,0.910460354619363,3.67639362946024,9.59803547496792
"GCLC",29.0453931993019,14.5269255405989,16.9451148599332,19.4822303687887
"GCLM",16.5602826599032,8.48327059251939,11.2504394471686,12.6820061543482
"GRN",123.908436917302,104.829923558668,53.055234338067,63.3721003957877
"GRIK2",1.43353914042648,143.855267915036,52.5927131317544,62.2879976226234
"GRIN1",0.290902999746136,7.28471270505252,48.4439062712201,43.9434418389617
"GSK3B",101.801843110375,236.477684184047,190.43661105022,178.437961478866
"HIF1A",304.305435924671,172.041520193707,126.999623709275,140.284100445804
"HLA-F",0.819504165900699,0.0858419465256131,0.417119127551918,0.802234814349752
"HMOX1",2.66249757700012,0.626267545772394,1.11696200737119,3.6596290857674
"HRAS",73.8703232570498,141.205087296486,146.410977095451,142.884765698415
"HSF1",65.8299355286683,60.3584256970446,58.6978804092779,49.9301581199801
"HSP90AB1",2588.23251997617,1355.12534607815,1726.66183717553,2109.91054203401
"IL10",0,0.0505409169815333,0.034674869001648,0.046636812848441
"IL13",0.0580047535587771,0.4065701890175,0.52954753805217,0.349372084297902
"ILK",3.11333045355402,6.4142793307874,3.84813696084883,5.18081873538077
"ISL1",0.168632261451176,338.900596533747,233.468470257128,213.978636142654
"JAK2",12.7382815763053,30.1543490651132,42.4405097820144,44.2733681511591
"JUN",140.016781257013,158.770569928448,261.126186366237,139.038055473721
"KIR3DL2",0,0,0,0
"KRAS",80.6179894037288,77.8965365730927,93.6985563563907,83.0746001887871
"LIG4",42.2941337537744,66.9132902563561,95.3132639064208,98.030233639166
"LRP1",111.787827273464,153.941470577099,157.146766745416,166.493521366207
"MAG",0.118918617984945,0,0,0.0246037383902858
"MDK",2232.44430986636,141.297849843622,58.3891556303132,44.94307915713
"MECP2",47.1290790453796,78.8251743340769,71.4732686785323,71.3991572998699
"MEF2C",0.880584231089979,24.5002375347439,83.0790752324619,77.4853747977661
"CD200",86.5318395849283,515.09627581747,559.092675142998,574.693627801727
"CITED1",11.7581125297268,41.8819146461094,109.286202753062,70.7440994533488
"MSH2",190.366558536386,113.634486326567,84.5776479460899,86.0918762631227
"MT3",0.088900604854174,0,13.188169740297,22.390409131994
"MTNR1B",0.0396086293329667,0.428401735418071,0.602360420382521,0.625798391377576
